time,u,v,w,p,q,r,phi,theta,psi,x,y,z,fx,fy,fz,mx,my,mz
2.71,10,35.5,0,0,0,0,0,0,0,27.2,12.6025,0,0,50,0,0,0,0
2.72,10,36,0,0,0,0,0,0,0,27.3,12.96,0,0,50,0,0,0,0
2.73,10,36.5,0,0,0,0,0,0,0,27.4,13.3225,0,0,50,0,0,0,0
2.74,10,37,0,0,0,0,0,0,0,27.5,13.69,0,0,50,0,0,0,0
2.75,10,37.5,0,0,0,0,0,0,0,27.6,14.0625,0,0,50,0,0,0,0
2.76,10,38,0,0,0,0,0,0,0,27.7,14.44,0,0,50,0,0,0,0
2.77,10,38.5,0,0,0,0,0,0,0,27.8,14.8225,0,0,50,0,0,0,0
2.78,10,39,0,0,0,0,0,0,0,27.9,15.21,0,0,50,0,0,0,0
2.79,10,39.5,0,0,0,0,0,0,0,28,15.6025,0,0,50,0,0,0,0
2.8,10,40,0,0,0,0,0,0,0,28.1,16,0,0,50,0,0,0,0
2.81,10,40.5,0,0,0,0,0,0,0,28.2,16.4025,0,0,50,0,0,0,0
2.82,10,41,0,0,0,0,0,0,0,28.3,16.81,0,0,50,0,0,0,0
2.83,10,41.5,0,0,0,0,0,0,0,28.4,17.2225,0,0,50,0,0,0,0
2.84,10,42,0,0,0,0,0,0,0,28.5,17.64,0,0,50,0,0,0,0
2.85,10,42.5,0,0,0,0,0,0,0,28.6,18.0625,0,0,50,0,0,0,0
2.86,10,43,0,0,0,0,0,0,0,28.7,18.49,0,0,50,0,0,0,0
2.87,10,43.5,0,0,0,0,0,0,0,28.8,18.9225,0,0,50,0,0,0,0
2.88,10,44,0,0,0,0,0,0,0,28.9,19.36,0,0,50,0,0,0,0
2.89,10,44.5,0,0,0,0,0,0,0,29,19.8025,0,0,50,0,0,0,0
2.9,10,45,0,0,0,0,0,0,0,29.1,20.25,0,0,50,0,0,0,0
2.91,10,45.5,0,0,0,0,0,0,0,29.2,20.7025,0,0,50,0,0,0,0
2.92,10,46,0,0,0,0,0,0,0,29.3,21.16,0,0,50,0,0,0,0
